Book Name,Rating,Customers_Rated,Price,Reading age,Grade level,Lexile measure,Print length,Language,Dimensions,Publisher,ISBN13,frontimg,subimage1,subimage2,subimage3
"Lion, the Witch and the Wardrobe",4.7,"13,315",,5 - 11 years,,,171,English,7.8 x 0.51 x 5.08 inches,HarperCollins Children's Books,9780007323128,"https://m.media-amazon.com/images/I/51QLjDXCe-L._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51QLjDXCe-L._AC_SX800.jpg,https://m.media-amazon.com/images/I/51Epur8sDsL._AC_SY800.jpg,https://m.media-amazon.com/images/I/51Fe1kHRGNL._AC_SY800.jpg
"The Giver - Essential Modern Classics [Paperback] [Jan 01, 2011] LOIS LOWRY",4.7,"27,741",,10+ years,,,,English,7.99 x 10 x 1.85 inches,Harpercollins Childrens,9780007341764,"https://m.media-amazon.com/images/I/41zOyRV-gyL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41zOyRV-gyL._AC_SX800.jpg,,
THE CAT IN THE HAT,4.9,"18,953",,2 - 6 years,,,64,English,7.99 x 0.24 x 10.98 inches,HARPER COLLINS,9780007348695,"https://m.media-amazon.com/images/I/51RwWYBoSgL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51RwWYBoSgL._AC_SX800.jpg,,
The Hobbit,4.8,"37,846",,,,,,English,5.08 x 0.94 x 7.2 inches,HarperCollins,9780007458424,"https://m.media-amazon.com/images/I/51N1VLZCuZL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51N1VLZCuZL._AC_SX800.jpg,,
DAY THE CRAYONS CAME HOME- PB+,4.9,"5,526",,3 - 7 years,,,,English,10 x 0.12 x 10 inches,HarperCollins Children’s Books,9780008124441,"https://m.media-amazon.com/images/I/51uj-dk62GL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51uj-dk62GL._AC_SX800.jpg,https://m.media-amazon.com/images/I/41tmhjdBg1L._AC_SY800.jpg,
PAX,4.7,"10,399",,8 - 11 years,,,,English,5.59 x 0.83 x 7.76 inches,HarperCollins Children Books,9780008158286,"https://m.media-amazon.com/images/I/51LPU-7wtbL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51LPU-7wtbL._AC_SX800.jpg,,
The Midnight Gang [Paperback],4.7,"8,999",,8 - 11 years,,,,English,5.08 x 1.5 x 7.8 inches,HARPER COLLINS,9780008164621,"https://m.media-amazon.com/images/I/51l8-xr5nHL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51l8-xr5nHL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51jtCURQ0YL._AC_SY800.jpg,https://m.media-amazon.com/images/I/41auiRyuJoL._AC_SY800.jpg
THE ICE MONSTER,4.8,"10,450",,7 - 12 years,,,496,English,5.08 x 1.46 x 7.8 inches,HARPER COLLINS,9780008164706,"https://m.media-amazon.com/images/I/517yXO6ipML._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/517yXO6ipML._AC_SX800.jpg,https://m.media-amazon.com/images/I/41NvKop-cfL._AC_SY800.jpg,https://m.media-amazon.com/images/I/41ukTq1qz1L._AC_SY800.jpg
Here We Are Notes For Living On Planet,4.8,"5,451",,1 - 5 years,,,,English,9.69 x 0.43 x 11.26 inches,HarperCollins Childrens Books,9780008266165,"https://m.media-amazon.com/images/I/41o6bQ1AXnL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41o6bQ1AXnL._AC_SX800.jpg,,
Animal Farm: The Internationally Best selling Classic from the Author of 1984 (Collins Classics),4.7,"42,401",,13+ years,,,,English,4.37 x 0.43 x 7.01 inches,William Collins,9780008322052,"https://m.media-amazon.com/images/I/31WugBbTqgL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/31WugBbTqgL._AC_SX800.jpg,,
Tolkien:The Fellowship of the Ring,4.8,"14,505",,12+ years,,,,English,5.55 x 1.5 x 8.74 inches,,9780008567125,"https://m.media-amazon.com/images/I/412125v28VL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/412125v28VL._AC_SX800.jpg,https://m.media-amazon.com/images/I/417CVz75bDS._AC_SX800.jpg,https://m.media-amazon.com/images/I/41aPTiw2rrL._AC_SY800.jpg
Where the Wild Things Are: A Caldecott Award Winner,4.9,"32,987",,1 - 5 years,,AD740L,48,English,9.24 x 10.4 x 0.43 inches,HarperCollins,,"https://m.media-amazon.com/images/I/612cvg4xMFL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/612cvg4xMFL._AC_SY800.jpg,,
Pete the Cat: I Love My White Shoes,4.9,"10,211",,2 - 5 years,Preschool - 3,AD460L,40,English,9 x 0.75 x 11.75 inches,HarperCollins,9780061906220,"https://m.media-amazon.com/images/I/51cfWcsGihL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51cfWcsGihL._AC_SX800.jpg,,
Pax,4.7,"10,399",,8 - 11 years,03-Jul,760L,288,English,5.5 x 1.05 x 7.75 inches,Balzer + Bray,9780062377012,"https://m.media-amazon.com/images/I/51idhxVuQYL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51idhxVuQYL._AC_SX800.jpg,,
"Dear Girl,: A Celebration of Wonderful, Smart, Beautiful You!",4.8,"8,888",,3 - 8 years,Preschool - 3,AD480L,40,English,9.1 x 9.2 x 0.5 inches,HarperCollins,9780062422507,"https://m.media-amazon.com/images/I/51JSlX893aL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51JSlX893aL._AC_SX800.jpg,https://m.media-amazon.com/images/I/413CwW+GUGL._AC_SX800.jpg,
The Bad Seed (The Food Group),4.7,"14,495",,3 - 7 years,Preschool - 3,AD390L,40,English,9.1 x 0.6 x 11.1 inches,HarperCollins,9780062467768,"https://m.media-amazon.com/images/I/41o4ElxdqTL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41o4ElxdqTL._AC_SX800.jpg,https://m.media-amazon.com/images/I/41P99gmfhwL._AC_SX800.jpg,https://m.media-amazon.com/images/I/41tgWSO-7NL._AC_SY800.jpg
The Hate U Give: A Printz Honor Winner,4.8,"26,250",,13+ years,09-Dec,,480,English,5.31 x 1.08 x 8 inches,Balzer + Bray,9780062498540,"https://m.media-amazon.com/images/I/41VVZqX-UlL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41VVZqX-UlL._AC_SX800.jpg,,
I Am Enough,4.9,"11,470",,3 - 7 years,Preschool - 3,,32,English,10.1 x 10.1 x 0.6 inches,Balzer + Bray,9780062667120,"https://m.media-amazon.com/images/I/51+SVDhJwML._SX258_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/51+SVDhJwML._AC_SY800.jpg,,
New Kid: A Newbery Award Winner,4.7,"8,079",,9 - 12 years,03-Jul,GN320L,256,English,6 x 0.64 x 9 inches,Quill Tree Books,9780062691194,"https://m.media-amazon.com/images/I/51B8+RiLYZL._SY344_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/51B8+RiLYZL._AC_SX800.jpg,,
The Good Egg (The Food Group),4.8,"8,779",,3 - 7 years,Preschool - 3,AD510L,40,English,9.2 x 0.6 x 11.1 inches,HarperCollins,9780062866004,"https://m.media-amazon.com/images/I/51-fsX+7ygL._SX258_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/51-fsX+7ygL._AC_SX800.jpg,,
The One and Only Bob (One and Only Ivan),4.8,"10,252",,8 - 11 years,03-Jul,570L,352,English,5.5 x 1.23 x 7.75 inches,HarperCollins,9780062991317,"https://m.media-amazon.com/images/I/41Y-2DtE0+L._SY344_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/41Y-2DtE0+L._AC_SX800.jpg,,
I Am Enough -,4.9,"11,470",,3 - 7 years,,,32,English,10 x 0.2 x 9.96 inches,Balzer + Bray,9780063080683,"https://m.media-amazon.com/images/I/41CYsH0hyCL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41CYsH0hyCL._AC_SY800.jpg,,
WHERE THE WILD THINGS ARE,4.9,"32,987",,1 - 5 years,,,48,English,10 x 0.31 x 8.98 inches,RANDOM HOUSE UK,9780099408390,"https://m.media-amazon.com/images/I/61f6zFlxHEL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/61f6zFlxHEL._AC_SY800.jpg,https://m.media-amazon.com/images/I/51gM23eAOfL._AC_SY800.jpg,https://m.media-amazon.com/images/I/61i4jivZxZL._AC_SY800.jpg
True Story of the Three Little Pigs,4.9,"6,254",,3 - 7 years,,,32,English,0.12 x 7.44 x 8.98 inches,FBA Powersetup,9780140540567,"https://m.media-amazon.com/images/I/61GWLFdwApL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/61GWLFdwApL._AC_SX800.jpg,,
Summer I Turned Pretty,4.5,"24,631",,,,,288,English,7.8 x 0.71 x 5.08 inches,Puffin,9780141330532,"https://m.media-amazon.com/images/I/41hJIiAdZpL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41hJIiAdZpL._AC_SX800.jpg,,
THE SON OF NEPTUNE (HEROES OF OLYMPUS BOOK 2),4.8,"15,254",,9+ years,,640L,,English,4.92 x 1.34 x 7.6 inches,PENGUIN,9780141335735,"https://m.media-amazon.com/images/I/51AlD+DHttL._SY344_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/51AlD+DHttL._AC_SX800.jpg,https://m.media-amazon.com/images/I/519t4lhcIdL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51xS8Vgw4+S._AC_SY800.jpg
Heroes Of Olympus The Mark Of Athena,4.8,"15,198",,9+ years,,690L,602,English,5.08 x 1.42 x 7.8 inches,PUFFIN BOOKS,9780141335766,"https://m.media-amazon.com/images/I/51mir6Py5jL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51mir6Py5jL._AC_SX800.jpg,https://m.media-amazon.com/images/I/514uCg7QqmL._AC_SX800.jpg,https://m.media-amazon.com/images/I/415LV8g6M2S._AC_SY800.jpg
Percy Jackson and the Lightning Thief,4.7,"33,378",,9 - 12 years,,680L,,English,8.66 x 5.91 x 0.98 inches,PENGUIN,9780141346809,"https://m.media-amazon.com/images/I/51BE8yvYwtL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51BE8yvYwtL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51SwUTVE9KL._AC_SX800.jpg,https://m.media-amazon.com/images/I/41svbvTC2PL._AC_SY800.jpg
Percy Jackson and the Titan's Curse (Book 3),4.8,"18,559",,9 - 12 years,,,298,English,5.08 x 0.75 x 7.8 inches,PUFFIN BOOKS,9780141346816,"https://m.media-amazon.com/images/I/51gmLhmCQLL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51gmLhmCQLL._AC_SX800.jpg,,
PMC A Wrinkle In Time,4.6,"14,327",,9 - 12 years,,,,English,7.8 x 5.08 x 0.67 inches,PUFFIN BOOKS,9780141354934,"https://m.media-amazon.com/images/I/51uAHDktCRL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51uAHDktCRL._AC_SX800.jpg,,
All the Bright Places: Movie Tie-In Edition,4.7,"13,680",,13+ years,,,300,English,5.08 x 1.1 x 7.76 inches,Puffin,9780141357034,"https://m.media-amazon.com/images/I/41SImPAOXPS._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41SImPAOXPS._AC_SX800.jpg,https://m.media-amazon.com/images/I/51uk-aXaGNS._AC_SY800.jpg,https://m.media-amazon.com/images/I/41MxTCxm07S._AC_SY800.jpg
Book With No Pictures,4.8,"17,411",,3 - 6 years,,,,English,8.03 x 9.96 x 0.13 inches,PUFFIN BOOKS,9780141361796,"https://m.media-amazon.com/images/I/41DLRhk8LkL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41DLRhk8LkL._AC_SX800.jpg,https://m.media-amazon.com/images/I/41ECwl2yKlL._AC_SX800.jpg,https://m.media-amazon.com/images/I/314fjYY1M5L._AC_SY800.jpg
Trials Of Apollo Bk 1 The Hidden Oracle,4.7,"10,792",,10+ years,,680L,,English,8.66 x 5.91 x 0.98 inches,PENGUIN,9780141363929,"https://m.media-amazon.com/images/I/510VDD-a+TL._SY344_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/510VDD-a+TL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51W3EIbkMPL._AC_SX800.jpg,
George's Marvellous Medicine,4.7,"7,413",,6 - 10 years,02-Apr,640L,128,English,5.12 x 0.39 x 7.8 inches,Puffin,9780141365503,"https://m.media-amazon.com/images/I/51gP543mjmL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51gP543mjmL._AC_SX800.jpg,,
Outsiders,4.8,"32,153",,12+ years,,,,English,7.8 x 0.55 x 5.08 inches,"American Mercury, Inc.",9780141368887,"https://m.media-amazon.com/images/I/41EtecRAzbL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41EtecRAzbL._AC_SX800.jpg,,
The Christmasaurus,4.7,"7,168",,6 - 10 years,,840L,,English,5.08 x 0.94 x 7.8 inches,PENGUIN RANDOM HOUSE,9780141373348,"https://m.media-amazon.com/images/I/51sXFwvXK2L._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51sXFwvXK2L._AC_SX800.jpg,,
One Of Us Is Lying,4.6,"29,603",,13+ years,07-Sep,,240,English,5.12 x 0.91 x 7.8 inches,Puffin,9780141375632,"https://m.media-amazon.com/images/I/41K4YyiZQ7L._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41K4YyiZQ7L._AC_SX800.jpg,https://m.media-amazon.com/images/I/51DaKs05mdL._AC_SX800.jpg,
Matilda: Broadway Tie-In,4.8,"15,796",,6 - 10 years,03-Jul,840L,256,English,5.13 x 0.68 x 7.75 inches,Viking Books for Young Readers,9780142425381,"https://m.media-amazon.com/images/I/512IsvYT+4L._SY344_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/512IsvYT+4L._AC_SX800.jpg,,
Ten Little Fingeand Ten Little Toes,4.8,"2,537",,1 - 3 years,,AD550L,40,English,9.48 x 11.04 x 0.39 inches,Clarion Books,9780152060572,"https://m.media-amazon.com/images/I/41PPg2THOZL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41PPg2THOZL._AC_SY800.jpg,,
The Very Hungry Caterpillar,4.8,"11,167",,1 - 4 years,,,,English,8.15 x 0.12 x 2.2 inches,PENGUIN UK,9780241017982,"https://m.media-amazon.com/images/I/41waUX+835L._SX258_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/41waUX+835L._AC_SY800.jpg,https://m.media-amazon.com/images/I/51gTwzppnHL._AC_SY800.jpg,
Diary of a Wimpy Kid: The Meltdown (book 13),4.8,"21,794",,8 - 11 years,,,,English,5.08 x 0.59 x 7.8 inches,,9780241389317,"https://m.media-amazon.com/images/I/51j6mM+IlWL._SY344_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/51j6mM+IlWL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51JUu5DZfPL._AC_SX800.jpg,
DIARY OF A WIMPY KID: THE MELTDOWN (BOOK 13),4.8,"21,794",,8 - 11 years,,,,English,5.08 x 0.59 x 7.8 inches,PENGUIN,9780241389324,"https://m.media-amazon.com/images/I/51m29DumRUL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51m29DumRUL._AC_SX800.jpg,,
Rowley Jefferson's Awesome Friendly Spooky Stories,4.7,"8,274",,7 - 11 years,,,,English,5.08 x 0.59 x 7.8 inches,PENGUIN,9780241530412,"https://m.media-amazon.com/images/I/51p4Z0WI2JL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51p4Z0WI2JL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51F+fsNhxrL._AC_SX800.jpg,
,,,,,,,,,,,,,,,
Diary Of A Wimpy Kid (Book 1),4.7,"18,115",,7 - 10 years,,,,English,5.08 x 0.59 x 7.8 inches,,9780241562284,"https://m.media-amazon.com/images/I/51DNZzk4TNL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51DNZzk4TNL._AC_SX800.jpg,,
The Monster at the End of This Book,4.9,"26,941",,1 - 4 years,Preschool - 2,AD450L,24,English,6.63 x 0.21 x 8 inches,Golden Books,9780307010858,"https://m.media-amazon.com/images/I/61Xs6x5WOwL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/61Xs6x5WOwL._AC_SX800.jpg,,
A Wrinkle in Time (Time Quintet),4.6,"14,327",,9 - 12 years,6 and up,740L,256,English,5.1 x 0.65 x 7.55 inches,Square Fish,9780312367541,"https://m.media-amazon.com/images/I/51JByNA2CZL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51JByNA2CZL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51-NTKNsh6L._AC_SX800.jpg,
The Twilight Saga White Collection,4.8,"11,861",,12 yeaand up,7 and up,,2720,English,7.5 x 5.75 x 8.5 inches,"Little, Brown Books for Young Readers",9780316243988,"https://m.media-amazon.com/images/I/517b8+Ipn0L._SX258_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/517b8+Ipn0L._AC_SY800.jpg,https://m.media-amazon.com/images/I/41A6m-J1zgL._AC_SY800.jpg,https://m.media-amazon.com/images/I/31CrWwBrEAL._AC_SY800.jpg
"The Wild Robot (The Wild Robot, 1)",4.8,"7,705",,7 - 10 years,03-Jul,740L,288,English,5.6 x 1.3 x 7.85 inches,"Little, Brown Books for Young Readers",9780316381994,"https://m.media-amazon.com/images/I/51FzBKG+xVL._SY344_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/51FzBKG+xVL._AC_SX800.jpg,https://m.media-amazon.com/images/I/417WCYDOqRL._AC_SX800.jpg,https://m.media-amazon.com/images/I/61IWBTUXazL._AC_SY800.jpg
Little Leaders: Bold Women in Black History (Vashti Harrison),4.9,"11,963",,4 - 9 years,03-Jul,1050L,96,English,7.55 x 0.45 x 9.05 inches,"Little, Brown Books for Young Readers",9780316475112,"https://m.media-amazon.com/images/I/41qS2xBeBhL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41qS2xBeBhL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51Hiz0MciBL._AC_SX800.jpg,https://m.media-amazon.com/images/I/515+-anvopL._AC_SY800.jpg
Hatchet,4.7,"19,705",,9+ years,,,160,English,5.12 x 0.43 x 7.8 inches,Pan Childrens,9780330439725,"https://m.media-amazon.com/images/I/41pBN8vYy-L._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41pBN8vYy-L._AC_SX800.jpg,https://m.media-amazon.com/images/I/51Wce-gsvDL._AC_SX800.jpg,https://m.media-amazon.com/images/I/41KO-wFKPSL._AC_SY800.jpg
Dear Zoo,4.8,"27,273",,1 - 3 years,,,,English,6.3 x 0.59 x 6.3 inches,MacMillan Children's Books,9780330512787,"https://m.media-amazon.com/images/I/41RiDBtzZZL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41RiDBtzZZL._AC_SY800.jpg,,
The Hitchhiker's Guide to the Galaxy,4.5,"15,695",,,,930L,208,English,5.49 x 0.59 x 8.22 inches,Del Rey,9780345418913,"https://m.media-amazon.com/images/I/61VNUSVgX9L._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/61VNUSVgX9L._AC_SX800.jpg,,
Inheritance: Book IV (Inheritance Cycle),4.7,"11,435",,10+ years,07-Sep,1010L,860,English,6.38 x 2 x 9.38 inches,Knopf Books for Young Readers,9780375856112,"https://m.media-amazon.com/images/I/51uZYNB4+eL._SY344_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/51uZYNB4+eL._AC_SX800.jpg,,
The Night Before Christmas (Little Golden Book),4.8,"8,676",,1 - 6 years,,,24,English,6.56 x 0.2 x 8 inches,Golden Books,9780375863592,"https://m.media-amazon.com/images/I/61csdekmEIL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/61csdekmEIL._AC_SX800.jpg,,
Wonder,4.8,"49,129",,9 - 11 years,03-Jul,790L,320,English,5.69 x 1.21 x 8.56 inches,Knopf Books for Young Readers,9780375869020,"https://m.media-amazon.com/images/I/41YjzRHO31L._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41YjzRHO31L._AC_SX800.jpg,,
Wonder,4.8,"49,129",,9 - 11 years,,,,English,,Corgi Childrens,9780375899881,"https://m.media-amazon.com/images/I/21eN+Xp5MrL._BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/21eN+Xp5MrL._AC_SX800.jpg,,
The Wonderful Things You Will Be,4.9,"26,583",,1 - 3 years,Preschool - 2,AD520L,36,English,9.88 x 0.33 x 10.25 inches,Random House Books for Young Readers,9780385376716,"https://m.media-amazon.com/images/I/51gEY86ijML._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51gEY86ijML._AC_SX800.jpg,,
The Maze Runner (Book 1),4.6,"17,486",,10+ years,07-Sep,HL770L,375,English,5.56 x 0.83 x 8.25 inches,Delacorte Press,9780385737951,"https://m.media-amazon.com/images/I/51abqQT4ajL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51abqQT4ajL._AC_SX800.jpg,,
The Boy in the Striped Pajamas,4.7,"21,828",,9+ years,07-Sep,1000L,215,English,5.5 x 0.41 x 8.25 inches,David Fickling Books,9780385751537,"https://m.media-amazon.com/images/I/61OX4OteXZL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/61OX4OteXZL._AC_SX800.jpg,,
Green Eggs and Ham,4.9,"21,991",,2 - 6 years,Preschool - 2,210L,65,English,6.75 x 0.39 x 9.25 inches,Beginner Books/Random House,9780394800165,"https://m.media-amazon.com/images/I/41QZuBj-CPL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41QZuBj-CPL._AC_SX800.jpg,,
Fox in Socks (Beginner Books),4.8,"14,463",,2 - 6 years,Preschool - 2,380L,62,English,6.8 x 0.42 x 9.33 inches,Random House Books for Young Readers,9780394800387,"https://m.media-amazon.com/images/I/51CDMBtlLgL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51CDMBtlLgL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51alNhLjIvS._AC_SY800.jpg,https://m.media-amazon.com/images/I/51qcUxdRgvS._AC_SY800.jpg
The Foot Book (The Bright and Early Books for Beginning Beginners),4.8,"10,202",,1 - 4 years,,NP,36,English,6.75 x 0.3 x 9.31 inches,Random House Books for Young Readers,9780394809373,"https://m.media-amazon.com/images/I/41dGk57DgBL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41dGk57DgBL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51hlwBb8WFL._AC_SY800.jpg,https://m.media-amazon.com/images/I/41L+QEdQ12L._AC_SY800.jpg
Otis,4.9,786,,1 - 4 years,,AD580L,48,English,11.38 x 0.45 x 10.81 inches,Philomel Books,9780399252488,"https://m.media-amazon.com/images/I/51H1IJr-5BL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51H1IJr-5BL._AC_SY800.jpg,,
The Day the Crayons Quit,4.8,"20,784",,3 - 6 years,Preschool - 2,AD730L,40,English,10.44 x 0.41 x 10.31 inches,Philomel Books,9780399255373,"https://m.media-amazon.com/images/I/51JNz57DqLL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51JNz57DqLL._AC_SX800.jpg,,
Harry Potter and the Prisoner of Azkaban (3),4.9,"51,581",,8+ years,04-Jul,880L,435,English,6.25 x 1.5 x 9.5 inches,Scholastic,9780439136358,"https://m.media-amazon.com/images/I/51-rbiAIiRL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51-rbiAIiRL._AC_SX800.jpg,https://m.media-amazon.com/images/I/41FyNq2e1kL._AC_SX800.jpg,https://m.media-amazon.com/images/I/310BcUXm1jL._AC_SY800.jpg
The Giver (Giver Quartet),4.7,"27,741",,10+ years,03-Jul,760L,179,English,4.25 x 0.55 x 6.84 inches,Laurel-Leaf,9780440237686,"https://m.media-amazon.com/images/I/51fRar1PvAL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51fRar1PvAL._AC_SX800.jpg,https://m.media-amazon.com/images/I/516RkffZrTL._AC_SX800.jpg,https://m.media-amazon.com/images/I/41zyzCpMNHL._AC_SY800.jpg
Love from The Very Hungry Caterpillar (The World of Eric Carle),4.8,"4,338",,1 - 3 years,,180L,32,English,5.81 x 0.41 x 7.06 inches,World of Eric Carle,9780448489322,"https://m.media-amazon.com/images/I/41jZK5rDWpL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41jZK5rDWpL._AC_SX800.jpg,https://m.media-amazon.com/images/I/31CxUzFkO6L._AC_SY800.jpg,https://m.media-amazon.com/images/I/31L8oByV18L._AC_SY800.jpg
Corduroy,4.9,"16,928",,1 - 4 years,,600L,34,English,6.56 x 0.79 x 5.06 inches,Viking Books for Young Readers,9780451470799,"https://m.media-amazon.com/images/I/51CSQG-vbuL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51CSQG-vbuL._AC_SY800.jpg,https://m.media-amazon.com/images/I/51OhYDN1opL._AC_SY800.jpg,https://m.media-amazon.com/images/I/51ismOvLCGS._AC_SY800.jpg
Animal Farm: 75th Anniversary Edition,4.7,"42,403",,13+ years,,1170L,140,English,4.19 x 0.45 x 7.5 inches,Signet,,"https://m.media-amazon.com/images/I/41NzDuSdIfL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/41NzDuSdIfL._AC_SX800.jpg,https://m.media-amazon.com/images/I/51Hp5RDRarL._AC_SX800.jpg,https://m.media-amazon.com/images/I/31B7EUeHUHL._AC_SY800.jpg
Hair Love,4.9,"17,662",,2 - 7 years,Preschool - 3,AD480L,32,English,9.88 x 0.34 x 10.31 inches,Kokila,9780525553366,"https://m.media-amazon.com/images/I/51tjnvwfLvL._SX218_BO1,204,203,200_QL40_ML2_.jpg",https://m.media-amazon.com/images/I/51tjnvwfLvL._AC_SX800.jpg,,
Little Blue Truck's Springtime,4.8,"14,321",,1 - 3 years,,AD370L,16,English,9 x 0.84 x 8.13 inches,Clarion Books,9780544938090,"https://m.media-amazon.com/images/I/51VQB3uWu+L._SX258_BO1,204,203,200_.jpg",https://m.media-amazon.com/images/I/51VQB3uWu+L._AC_SY800.jpg,,
