isbn,name_y,review_count,Most Popular Series,Best Seller Series,Most Searched Tags,name_x,min_age,max_age,rating
B0796D8ZJC,Baby Loves,422,,,S.T.E.A.M. Learning,"Baby Loves Structural Engineering! (Baby Loves Science Book 8) (November 6, 2018)",0,1,4.8
B01J1XIETK,Baby Loves,419,,,S.T.E.A.M. Learning,"Baby Loves Quarks! (Baby Loves Science Book 2) (October 4, 2016)",0,1,4.8
B0776K9X2Y,Baby Loves,413,,,S.T.E.A.M. Learning,"Baby Loves Gravity! (Baby Loves Science Book 5) (May 1, 2018)",0,1,4.8
B0796DCXT3,Baby Loves,328,,,S.T.E.A.M. Learning,"Baby Loves Green Energy! (Baby Loves Science Book 7) (November 6, 2018)",0,1,4.8
B073CD27CW,Baby Loves,191,,,S.T.E.A.M. Learning,"Baby Loves Thermodynamics! (Baby Loves Science Book 3) (September 5, 2017)",0,1,4.5
B07WCKL9HR,Baby Loves,183,,,,"Baby Loves Political Science: Democracy! (Baby Loves Science) (April 7, 2020)",0,1,4.8
B07MYK1YSL,Baby Loves,151,,,Learning Times,"Baby Loves the Five Senses: Hearing! (Baby Loves Science) (September 24, 2019)",0,1,4.9
B07MYKDTCM,Baby Loves,83,,,Learning Times,"Baby Loves the Five Senses: Sight! (Baby Loves Science) (September 24, 2019)",0,1,4.8
9781623541491,Baby Loves,82,,,S.T.E.A.M. Learning,"Baby Loves Scientists (Baby Loves Science) (October 15, 2019)",0,1,4.8
B08P466JKF,Baby Loves,76,,,S.T.E.A.M. Learning,"Baby Loves Electrical Engineering on Christmas! (Baby Loves Science) (August 24, 2021)",0,1,4.6
B082S1HN8B,Baby Loves,70,,,Learning Times,"Baby Loves Political Science: Justice! (Baby Loves Science) (September 15, 2020)",0,1,4.7
B081Y4LJRK,Baby Loves,54,,,Learning Times,"Baby Loves the Five Senses: Smell! (Baby Loves Science) (August 18, 2020)",0,1,4.7
B081Y45G84,Baby Loves,53,,,Learning Times,"Baby Loves the Five Senses: Taste! (Baby Loves Science) (August 18, 2020)",0,1,4.8
B081Y51RRK,Baby Loves,52,,,Learning Times,"Baby Loves the Five Senses: Touch! (Baby Loves Science) (August 18, 2020)",0,1,4.7
B08P4726RR,Baby Loves,31,,,S.T.E.A.M. Learning,"Baby Loves Angular Momentum on Hanukkah! (Baby Loves Science) (August 24, 2021)",0,1,4.7
B08D8JJXYF,Baby Loves,20,,,S.T.E.A.M. Learning,"Baby Loves Political Science: Congress! (April 13, 2021)",0,1,4.5
B08D8JM66Z,Baby Loves,10,,,,"Baby Loves Political Science: The Presidency! (April 13, 2021)",0,1,4.8
9780756634681,Baby Touch and Feel,"11,149",,,Touch & Feel,"Baby Touch and Feel: Animals (January 21, 2008)",0,1,4.7
B00BR9Y040,Baby Touch and Feel,"2,982",,,Touch & Feel,Trucks (BABY TOUCH & FEEL) by DK Publishing (Brdbk Edition) [Boardbook(2008)],0,1,4.8
9780756645113,Baby Touch and Feel,"2,914",,,Touch & Feel,"Baby Touch and Feel: Bedtime (December 22, 2008)",0,1,4.7
B01K9251VQ,Baby Touch and Feel,"2,159",,,,Baby Touch and Feel Bunny by DK (2012-01-19),0,1,4.8
B0184W654K,Baby Touch and Feel,"2,009",,,,"Baby Touch and Feel: Puppies and Kittens (Baby Touch & Feel) by Dorling Kindersley(2013-03-05) (September 1, 2008)",0,1,4.7
9781465414311,Baby Touch and Feel,"1,887",,,,"Baby Touch and Feel: Happy Birthday (September 16, 2013)",0,1,4.7
9781465401625,Baby Touch and Feel,827,,,,"Baby Touch and Feel: Splish! Splash! (December 17, 2012)",0,1,4.7
B00N4GWJ9C,Baby Touch and Feel,582,,,,By DK Publishing Baby Touch and Feel: Fluffy Animals (BABY TOUCH & FEEL) (Brdbk),0,1,4.8
9781465401618,Baby Touch and Feel,436,,,,"Baby Touch and Feel: Mealtime (BABY TOUCH & FEEL) (December 17, 2012)",0,1,4.7
B00J5SGKEI,Baby Touch and Feel,431,,,,Baby Touch and Feel: Wild Animals,0,1,4.6
9781465414328,Baby Touch and Feel,411,,,,"Baby Touch and Feel Counting (September 16, 2013)",0,1,4.6
9780756658410,Baby Touch and Feel,372,,,,"Baby Touch and Feel: Things That Go (December 7, 2009)",0,1,4.7
9780756671327,Baby Touch and Feel,339,,,,"Baby Touch and Feel: Tractor (November 29, 2010)",0,1,4.8
9780756643010,Baby Touch and Feel,317,,,,"Baby Touch and Feel: Baby Animals (December 7, 2009)",0,1,4.7
9780756686888,Baby Touch and Feel,302,,,,"Baby Touch and Feel: Cuddly Animals (August 15, 2011)",0,1,4.7
B00N4FNBUY,Baby Touch and Feel,211,,,,"By DK Publishing Bathtime (BABY TOUCH & FEEL) (Brdbk) (December 22, 2009)",0,1,4.3
9780756689865,Baby Touch and Feel,67,,,,"Baby Touch and Feel: Farm Animals (BABY TOUCH & FEEL) (December 19, 2011)",0,1,4.5
9781465416711,Baby Touch and Feel,57,,,,"Baby Touch and Feel: Roar! Roar! (BABY TOUCH & FEEL) (December 23, 2013)",0,1,4.6
B00ZQC8EI2,Baby Touch and Feel,53,,,,Touch and Feel: 123 (Touch & Feel) by DK Publishing (2013) Board book,0,1,3.8
9780756689919,Baby Touch and Feel,39,,,,"Touch and Feel Baby Animals (December 19, 2011)",0,1,4.7
9781409549710,Baby's Very First Books,"3,715",,,Sound Books,Babys Very First Noisy Nursery Rhymes,0,1,4.6
B01F7Y7HL8,Baby's Very First Books,"1,133",,,,Baby's Very First Touchy-feely Book (Usborne Touchy Feely Books),0,1,4.7
9781409530558,Baby's Very First Books,929,,,,"Christmas (September 1, 2011)",0,1,4.6
9781409556626,Baby's Very First Books,827,,,,Babys Very First Touchy-Feely Lift Flap,0,1,4.6
9781409507826,Baby's Very First Books,375,,,Sound Books,Baby'S Very First Noisy Book - Usborne,0,1,4.4
9781409522904,Baby's Very First Books,314,,,Sound Books,Baby's Very First Noisy Book Things that Go,0,1,4.5
9781409516972,Baby's Very First Books,309,,,,"Baby's Very First Touchy-Feely Christmas Book (August 30, 2010)",0,1,4.6
9781409522959,Baby's Very First Books,189,,,,Baby's Very First Touchy-Feely Animals Book (Baby's Very First Touchy-Feely Books),0,1,4.6
9781409581291,Baby's Very First Books,150,,,,Baby's Very First Slide and See Under the Sea,0,1,4.5
9781474921725,Baby's Very First Books,133,,,,"Baby's Very First Slide and See Zoo (October 20, 2016)",0,1,4.6
9781409565116,Baby's Very First Books,131,,,,"Baby's very touchy-feely colours play book (June 12, 2014)",0,1,4.6
B0160FADDC,Baby's Very First Books,95,,,,"(Baby's Very First Big Play Book (Baby's Very First Books): 1) [By: Fiona Watt] [Dec, 2013]",0,1,4.6
B011T6LJ1C,Baby's Very First Books,88,,,,Baby's Very First Touchy-feely Lift-the-flap Playbook by Fiona Watt (1-Apr-2013) Board book,0,1,4.4
9781409535751,Baby's Very First Books,80,,,,"Babies (November 1, 2011)",0,1,4.5
9781409581710,Baby's Very First Books,54,,,,"Baby's Very First Cloth Book (Baby's Very First Books) (March 26, 2015)",0,1,4.5
9781409581277,Baby's Very First Books,34,,,,Babys Very First Slide & See Farm,0,1,4.7
9781409581550,Baby's Very First Books,31,,,Sound Books,"Baby's very first noizy book trains (January 15, 2015)",0,1,4.1
9781409581536,Baby's Very First Books,14,,,,"Touchy Feely Fingertrail Play Book (Babys Very First Books) (July 1, 2014)",0,1,4.7
9781492607632,Bill Cotter,"4,156",,Global Bestseller,,Don't Push the Button!,0,2,4.7
9781492664420,Bill Cotter,"1,928",,,,Don't Push the Button!: A Halloween Treat,0,2,4.7
9781492657057,Bill Cotter,"1,358",,,,Don't Push the Button! A Christmas Adventure: An Interactive Holiday Book For Toddlers,0,2,4.7
9781492648048,Bill Cotter,"1,041",,,,Don't Touch This Book!,0,2,4.7
9781728240596,Bill Cotter,158,,,,Don't Push the Button,0,2,4.7
9781728277127,Bill Cotter,0,,,,Don't Push the Button: On the Farm,0,2,4.7
B07T2VRSHD,Books of Kindness,"1,763",,,Good Habits,"ABCs of Kindness (Books of Kindness) (December 24, 2019)",0,1,4.9
B08BYW64TF,Books of Kindness,471,,,Good Habits,"Happiness Is a Rainbow (Books of Kindness) (February 9, 2021)",0,1,4.9
B085BTGCWG,Books of Kindness,389,,,Good Habits,"123s of Thankfulness (Books of Kindness) (September 8, 2020)",0,1,4.9
B0986YBDL6,Books of Kindness,183,,,,"ABCs of Love (Books of Kindness) (January 4, 2022)",0,1,4.9
B08VFXYJ37,Books of Kindness,68,,,,"Friendship Is Forever (Books of Kindness) (January 4, 2022)",0,1,4.8
B09RMZQ153,Books of Kindness,25,,,,"123s of Kindness (Books of Kindness) (September 20, 2022)",0,1,4.9
B0B8V1RYKF,Books of Kindness,8,,,,"ABCs of Love for Mom (Books of Kindness) (March 21, 2023)",0,1,5
9781523508136,Boynton on Board,"3,831",1,Editor Pick,,"Dinosnores (Boynton on Board) (September 3, 2019)",0,2,4.9
152351468X,Boynton on Board,"1,551",1,Editor Pick,,"Woodland Dance! (Boynton on Board) (September 28, 2021)",0,2,4.9
9780761130673,Boynton on Board,"6,901",1,,Animal Stories,"Snuggle Puppy! (Boynton on Board) (May 22, 2003)",0,2,4.9
B00MMPYMMI,Boynton on Board,"6,644",1,,,"[(Barnyard Dance!)] [ By (author) Sandra Boynton ] [December, 2011]",0,2,4.9
B00HTJWZU8,Boynton on Board,"3,670",1,,,"By Sandra Boynton - Pajama Time! (None) (3.2.2000) (April 1, 2000)",0,2,4.9
9780761193005,Boynton on Board,"2,994",1,,,"Eek! Halloween! (Boynton on Board) (August 23, 2016)",0,2,4.9
9781563054419,Boynton on Board,"1,603",1,,,"Oh My Oh My Oh Dinosaurs!: A Book of Opposites (Boynton on Board) (October 1, 1993)",0,2,4.8
9781523510214,Boynton on Board,"1,351",1,,,"Your Nose! (Boynton on Board) (March 31, 2020)",0,2,4.7
9781523513604,Boynton on Board,"1,104",1,,,"Jungle Night (comes with 2 free audio downloads, Yo-Yo Ma, cello) (Boynton on Board) (March 23, 2021)",0,2,4.8
B00HTJS4KI,Boynton on Board,919,,,,By Sandra Boynton - Your Personal Penguin (1st Edition),0,2,4.8
9780761168836,Boynton on Board,879,,,,"Tickle Time!: A Boynton on Board Board Book (March 13, 2012)",0,2,4.8
B00P23ZP0U,Boynton on Board,793,,,,"Fifteen Animals! by Boynton, Sandra [Workman Publishing Company, 2008] Board book [Board book]",0,2,4.8
B018CK0QP8,Boynton on Board,669,,,,"[Bunny Rabbit Show!, The (Boynton on Board)] [Author: Sandra Boynton] [October, 2014]",0,2,4.8
9780761119760,Boynton on Board,656,,,,"Hey! Wake Up! (Boynton on Board) (April 1, 2000)",0,2,4.8
9780761159933,Boynton on Board,581,,,,"Perfect Piggies! (Boynton on Board) (May 26, 2010)",0,2,4.8
9781563054440,Boynton on Board,522,,,,"One, Two, Three!: A Happy Counting Book (Boynton on Board) (October 1, 1993)",0,2,4.8
9781665928403,Boynton on Board,166,,,,"Peekaboo Rex! (Boynton on Board) (January 3, 2023)",0,2,4.8
9780805092912,Brown Bear and Friends,"3,299",,Editor Pick,Animal Stories,"Baby Bear, Baby Bear, What Do You See? (My First Reader) (January 18, 2011)",0,1,4.9
9780805092448,Brown Bear and Friends,"51,488",,Global Bestseller,,"Brown Bear, Brown Bear, What Do You See? My First Reader (July 20, 2010)",0,1,4.9
9780805092455,Brown Bear and Friends,"9,313",,Global Bestseller,Animal Stories,"Polar Bear, Polar Bear, What Do You Hear? My First Reader (July 20, 2010)",0,1,4.8
9780805092929,Brown Bear and Friends,"3,717",,Teacher Pick,Animal Stories,"Panda Bear, Panda Bear, What Do You See? (My First Reader) (January 18, 2011)",0,1,4.8
9780671679491,"Chicka Chicka Book, A","36,497",,Teacher Pick,,"Chicka Chicka Boom Boom (Chicka Chicka Book, A) (October 1, 1989)",0,1,4.9
9780689858819,"Chicka Chicka Book, A","4,317",,Teacher Pick,Learning Times,"Chicka Chicka 1, 2, 3 (August 1, 2004)",0,1,4.7
B00BR9WG5A,"Chicka Chicka Book, A","1,451",,,Learning Times,"Chicka Chicka ABC by Bill Martin Jr., John Archambault (unknown Edition) [Boardbook(1993)]",0,1,4.4
9781406344769,Chris Haughton,1182,,,,"Oh No, George!",0,1,4.5
9781406360035,Chris Haughton,1138,,,,Shh! We Have a Plan,0,1,4.5
9781406333831,Chris Haughton,514,,,,A Bit Lost,0,1,4.5
9781406392869,Chris Haughton,489,,,,"Don't Worry, Little Crab",0,1,4.5
9781406373226,Chris Haughton,421,,,Bedtime Stories,Goodnight Everyone,0,1,4.5
9780241446959,Emily Winfield Martin,"26,859",,New York Times Bestseller,Bedtime Stories,The Wonderful Things You Will Be,0,2,4.7
9780449810804,Emily Winfield Martin,"1,487",,,Bedtime Stories,Dream Animals: A Bedtime Journey,0,2,4.7
9780385376709,Emily Winfield Martin,910,,,,Day Dreamers,0,2,4.7
9780694013012,Eric Carle,6151,1,New York Times Bestseller,,From Head To Toe Board Book,0,1,4.8
9780061964282,Eric Carle,1404,1,Editor Pick,Learning Times,10 Little Rubber Ducks Board Book (World Of Eric Carle),0,1,4.7
9780593384749,Eric Carle,56816,1,Global Bestseller,Animal Stories,The Very Hungry Caterpillar'S First Summer (The World Of Eric Carle),0,1,4.9
9780241135907,Eric Carle,5928,1,Teacher Pick,,"The Very Busy Spider [Board Book] Carle, Eric",0,1,4.8
9780689871498,Eric Carle,2616,1,,,The Tiny Seed,0,1,4.7
9780694011476,Eric Carle,2279,1,,,The Mixed-Up Chameleon Board Book,0,1,4.8
9780689829598,Eric Carle,2248,1,,Family Time,"Papa, Please Get The Moon For Me",0,1,4.6
9780399226847,Eric Carle,2076,1,,,The Very Quiet Cricket Board Book,0,1,4.6
9780241959565,Eric Carle,2063,1,,Touch & Feel,Touch And Feel Playbook (The Very Hungry Caterpillar) [Paperback] Eric Carle,0,1,4.6
9780399254901,Eric Carle,1835,1,,,Mister Seahorse: Board Book (World Of Eric Carle),0,1,4.8
9780141357430,Eric Carle,1697,1,,,The Very Lonely Firefly,0,1,4.8
9780399173141,Eric Carle,1679,1,,,Dream Snow,0,1,4.7
9780141374352,Eric Carle,1674,1,,,Where Is The Very Hungry Caterpillar?,0,1,4.8
9780399539992,Eric Carle,1583,1,,,The Very Hungry Caterpillar'S Abc (The World Of Eric Carle),0,1,4.8
9781534474932,Eric Carle,1433,1,,,You'Re My Little Baby: A Touch-And-Feel Book (The World Of Eric Carle),0,1,4.9
9781250152329,Eric Carle,1239,1,,,"Brown Bear, Brown Bear, What Do You See? / Oso Pardo, Oso Pardo, ?Que Ves Ahi? (Bilingual Board Book - English / Spanish)",0,1,4.9
9780694007097,Eric Carle,1029,1,,,Do You Want To Be My Friend? Board Book,0,1,4.5
9780399236051,Eric Carle,950,,,,Today Is Monday Board Book,0,1,4.7
9780399230134,Eric Carle,943,,,Learning Times,"1, 2, 3 To The Zoo: A Counting Book",0,1,4.7
9780689803789,Eric Carle,868,,,,Have You Seen My Cat? (The World Of Eric Carle),0,1,4.6
9780399231919,Eric Carle,776,,,,Little Cloud Board Book,0,1,4.8
9780141383507,Eric Carle,736,,,,The Bad - Tempered Ladybird,0,1,4.7
9781338312232,Future Baby,392,,,S.T.E.A.M. Learning,"Future Engineer (Future Baby) (September 17, 2019)",0,1,4.8
9781338312225,Future Baby,224,,,S.T.E.A.M. Learning,"Future Astronaut (Future Baby) (June 25, 2019)",0,1,4.8
9781338312256,Future Baby,107,,,,"Future Doctor (Future Baby) (4) (October 20, 2020)",0,1,4.7
9781338312249,Future Baby,83,,,,"Future President (Future Baby) (3) (December 26, 2019)",0,1,4.8
9781408324387,Giles Andreae,1190,,,Family Time,I Love My Daddy,0,1,4.8
9781408356616,Giles Andreae,861,,,Family Time,I Love My Mummy,0,1,4.7
9781408350638,Giles Andreae,592,,,,I Love My Grandad Board Book,0,1,4.8
9781484734094,Giles Andreae,464,,,Family Time,I Love My Grandma,0,1,4.8
9781338359794,Giles Andreae,391,,,,"I Love You, Little Monster! (Made With Love)",0,1,4.8
9781452152165,"Goodnight, Goodnight Construction Site","4,297",1,New York Times Bestseller,,"Mighty, Mighty Construction Site (Goodnight, Goodnight, Construc) (February 14, 2017)",0,2,4.9
9780811877824,"Goodnight, Goodnight Construction Site","22,491",1,Global Bestseller,Bedtime Stories,"Goodnight, Goodnight, Construction Site (April 20, 2011)",0,2,4.9
9781452139111,"Goodnight, Goodnight Construction Site","7,110",1,,,"Construction Site on Christmas Night: (Christmas Book for Kids, Children's Book, Holiday Picture Book) (Goodnight, Goodnight Construction Site) (October 16, 2018)",0,2,4.9
9781452155821,"Goodnight, Goodnight Construction Site","2,722",1,,Vehicles,"Three Cheers for Kid McGear!: (Family Read Aloud Books, Construction Books for Kids, Children's New Experiences Books, Stories in Verse) (Goodnight, Goodnight, Construc) (September 24, 2019)",0,2,4.9
9781452182575,"Goodnight, Goodnight Construction Site","1,939",1,,Vehicles,"Construction Site Mission: Demolition! (Goodnight, Goodnight, Construc) (September 29, 2020)",0,2,4.9
9781797204727,"Goodnight, Goodnight Construction Site","1,347",1,,Vehicles,"Construction Site: Road Crew, Coming Through! (Goodnight, Goodnight, Construc) (October 12, 2021)",0,2,4.9
9781797213873,"Goodnight, Goodnight Construction Site",243,,,,"Construction Site: Farming Strong, All Year Long (Goodnight, Goodnight, Construc) (November 15, 2022)",0,2,4.9
B07K4WTB4P,"Goodnight, Goodnight, Construction Site (Board Books)","2,515",,,Learning Times,"Excavator's 123: Goodnight, Goodnight, Construction Site (Goodnight, Goodnight Construction Site) (March 5, 2019)",0,2,4.8
B07ZWMFJWP,"Goodnight, Goodnight, Construction Site (Board Books)","1,621",,,Learning Times,"Cement Mixer's ABC: Goodnight, Goodnight, Construction Site (Goodnight, Goodnight Construction Site) (November 12, 2019)",0,2,4.7
B07K4YLBQG,"Goodnight, Goodnight, Construction Site (Board Books)","1,284",,,Learning Times,"Bulldozer's Shapes: Goodnight, Goodnight, Construction Site (Goodnight, Goodnight, Construction Site (Series)) (March 5, 2019)",0,2,4.8
B084D6QZL3,"Goodnight, Goodnight, Construction Site (Board Books)",933,,,,"Crane Truck's Opposites: Goodnight, Goodnight, Construction Site (Goodnight, Goodnight Construction Site) (February 11, 2020)",0,2,4.8
9781452176505,"Goodnight, Goodnight, Construction Site (Board Books)",841,,,,"Dump Truck's Colors: Goodnight, Goodnight, Construction Site",0,2,4.8
9780374390198,If Animals Kissed Good Night,"72,545",,Global Bestseller,Bedtime Stories,"If Animals Kissed Good Night (September 13, 2022)",0,2,4.8
9780374306021,If Animals Kissed Good Night,"2,944",,,Bedtime Stories,"If Animals Said I Love You (If Animals Kissed Good Night) (October 17, 2017)",0,2,4.7
9780374309015,If Animals Kissed Good Night,719,,,,"If Animals Celebrated Christmas (If Animals Kissed Good Night) (September 11, 2018)",0,2,4.7
9780374309022,If Animals Kissed Good Night,711,,,,"If Animals Went to School (If Animals Kissed Good Night) (May 14, 2019)",0,2,4.7
9780374313418,If Animals Kissed Good Night,576,,,Good Habits,"If Animals Gave Thanks (If Animals Kissed Good Night) (September 1, 2020)",0,2,4.6
9780374313425,If Animals Kissed Good Night,63,,,,"If Animals Tried to Be Kind (If Animals Kissed Good Night) (June 1, 2021)",0,2,4.7
9780374388522,If Animals Kissed Good Night,8,,,,"If Animals Trick-or-Treated (If Animals Kissed Good Night) (August 2, 2022)",0,2,4.6
B005I76XNS,Karen Katz Lift-the-Flap Books,"13,404",1,Global Bestseller,,"(Where Is Baby's Belly Button?) By Katz, Karen (Author) Hardcover on 01-Sep-2000",0,1,4.8
B001VEVYPY,Karen Katz Lift-the-Flap Books,"3,656",1,,,"Toes, Ears, & Nose! A Lift-the-Flap Book",0,1,4.7
B00DWWH150,Karen Katz Lift-the-Flap Books,"1,122",1,,,"Where Is Babys Valentine? A Lift the Flap Book by Katz, Karen [Little Simon,2006] (Board book)",0,1,4.8
B00BR9YCY8,Karen Katz Lift-the-Flap Books,"1,117",1,,,"Where Is Baby's Birthday Cake?: A Lift-the-Flap Book (Karen Katz Lift-the-Flap Books) by Katz, Karen (unknown Edition) [Paperback(2008)] (August 13, 2008)",0,1,4.8
B00N4G3M1Q,Karen Katz Lift-the-Flap Books,"1,111",1,,,By Karen Katz Where Is Baby's Pumpkin? (Karen Katz Lift-the-Flap Books),0,1,4.9
B00BR9Y7RU,Karen Katz Lift-the-Flap Books,"1,011",1,,,Baby Loves Summer!: A Karen Katz Lift-the-Flap Book (Karen Katz Lift-the-Flap Books),0,1,4.8
9781416974628,Karen Katz Lift-the-Flap Books,975,1,,,Peek a Baby,0,1,4.8
B008H07MQA,Karen Katz Lift-the-Flap Books,849,,,,"Where Are Baby's Easter Eggs?: A Lift-the-Flap Book (Karen Katz Lift-the-Flap Books) (January 23, 2008)",0,1,4.8
B00J5S8RNU,Karen Katz Lift-the-Flap Books,720,,,,"[How Does Baby Feel?: A Karen Katz Lift-the-Flap Book (Karen Katz Lift-the-Flap Books)] [By: Katz, Karen] [January, 2013]",0,1,4.7
B006DULZKU,Karen Katz Lift-the-Flap Books,698,,,,"Where Is Baby's Puppy? [ WHERE IS BABY'S PUPPY? ] by Katz, Karen ( Author ) Jan-04-2011 Hardcover (January 4, 2011)",0,1,4.9
B007CKYNT0,Karen Katz Lift-the-Flap Books,650,,,,"Grandpa and Me: A Lift-the-Flap Book (Karen Katz Lift-the-Flap Books) (May 1, 2004)",0,1,4.8
9780689835612,Karen Katz Lift-the-Flap Books,618,,,,"Where is Baby's Mommy? (April 1, 2001)",0,1,4.8
